segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,segmentData18,segmentData19,segmentData20,segmentData21,segmentData22,segmentData23,segmentData24,segmentData25,segmentData26,segmentData27,segmentData28,segmentData29,segmentData30,segmentData31,segmentData32,segmentData33,segmentData34,segmentData35,segmentData36,segmentData37,segmentData38,segmentData39,segmentData40,segmentData41,segmentData42,segmentData43,segmentData44,segmentData45,segmentData46,segmentData47,segmentData48,segmentData49,segmentData50,segmentData51,segmentData52,segmentData53,segmentData54,segmentData55,segmentData56,segmentData57,segmentData58,segmentData59,segmentData60,segmentData61,segmentData62,segmentData63,segmentData64,labels
-14.753,-24.85667,10.98643,-54.65176,-63.79145,-87.06684,-95.38763,-49.79871,-35.53692,-48.08883,-13.25732,-35.70378,-71.73494,-36.24115,-38.40135,-58.75199,-47.67686,-66.33046,-19.09517,-36.28509,-122.8735,-137.7787,-94.94801,-109.526,-108.9663,-51.09581,-50.94264,-68.04785,-50.69518,-45.0202,-4.675284,-37.55439,-35.02616,-38.24056,-46.94201,-59.66708,-38.28286,-39.6903,-45.04117,-0.6485344,89.71096,-20.67758,-47.56067,168.9354,34.42232,-50.20545,-55.9664,-12.67429,-41.65613,-59.09266,-43.97336,-69.48985,-37.33867,-55.09221,23.33249,-60.20612,38.55747,-31.37922,-102.958,44.47071,-34.15376,-34.1788,-34.46233,-26.4836,TASK4T0
-55.88635,-39.52438,-7.397886,-68.13172,-72.53427,-87.00332,-102.8013,-50.04685,-39.9774,-51.84409,-26.87942,-41.3575,-83.0719,-40.93821,-32.64833,-63.14891,-51.73127,-55.76545,-20.23813,-39.35356,-125.7944,-150.5955,-108.4743,-122.2159,-136.279,-67.27515,-62.69231,-84.55183,-102.0087,-64.34474,-29.16806,-47.46204,-46.39577,-41.81613,-59.37078,-62.38778,-31.81767,-37.40903,-55.87601,-4.963284,98.58701,-11.00484,-70.0994,149.6836,30.04609,-55.11472,-61.19088,-12.93252,-41.75744,-55.35355,-39.22243,-76.97756,-39.39881,-55.89999,20.22238,-73.90578,28.9508,-28.27935,-98.88862,40.22188,-31.10283,-30.36042,-28.46713,-12.5985,TASK4T0
-13.41885,-24.35643,2.833416,-50.81907,-56.61693,-79.6265,-97.9717,-34.32159,-31.72097,-42.44891,-10.37353,-27.90756,-60.33633,-27.11728,-13.96142,-58.65429,-44.28732,-47.48396,2.795732,-21.88842,-100.7793,-131.9639,-90.53758,-107.5018,-110.1997,-54.51146,-47.05695,-61.83715,-48.58455,-56.49126,-5.729706,-39.07347,-40.04063,-37.92237,-50.2392,-54.36301,-28.19022,-35.4897,-46.14084,13.67218,74.64056,10.81629,-35.99369,152.8442,25.18827,-47.37794,-63.5101,-14.6667,-41.88527,-45.70052,-35.81951,-59.16641,-30.08381,-52.56652,25.11286,-58.0356,45.58502,-23.90757,-92.10378,62.12392,-21.53514,-15.34383,-27.04971,2.218262,TASK4T0
-33.26933,-62.10436,-11.75232,-67.61709,-70.83068,-94.20609,-101.1801,-55.29065,-62.235,-61.79546,-28.27918,-48.18042,-83.25934,-47.74986,-49.916,-70.21046,-59.03197,-53.78141,-17.05974,-40.53406,-125.3355,-160.272,-116.2008,-122.2642,-133.2219,-74.28237,-63.07471,-82.43792,-60.27705,-92.86613,-16.74357,-39.87281,-46.26501,-46.56633,-54.54729,-64.78138,-43.13042,-52.43844,-40.54914,-7.451616,64.51321,-10.2981,-48.40348,167.3852,37.03111,-49.59214,-40.32207,-6.476238,-37.27122,-49.57029,-40.30641,-66.72118,-38.86677,-49.04383,17.85026,-56.23666,26.81553,-29.23881,-107.1147,47.70649,-35.88737,-29.54967,-29.4497,-24.44731,TASK4T0
-25.50977,-38.87243,7.928357,-60.3215,-66.56001,-93.63627,-87.81123,-46.57139,-45.55062,-54.28088,-18.12922,-49.24108,-85.65093,-37.64835,-30.31864,-59.75765,-54.69525,-55.25361,-17.54213,-37.78436,-113.5776,-149.8961,-103.2441,-114.7023,-119.154,-64.1101,-58.14136,-75.60716,-75.28662,-73.69968,-12.55685,-47.90374,-43.77164,-42.36238,-61.87115,-58.76632,-20.14576,-36.71828,-41.31814,-1.834776,88.72004,-16.19766,-49.05778,150.7541,15.36693,-63.65202,-50.9136,-9.175143,-58.90755,-58.1149,-50.38982,-87.2428,-48.78893,-63.49476,4.574874,-67.964,15.92544,-39.87632,-118.7246,34.97763,-35.27575,-41.16054,-45.19582,-22.45239,TASK4T0
-66.71396,-36.04691,5.657524,-58.63746,-67.23746,-94.72727,-92.74817,-37.2119,-38.19839,-46.16244,-10.90408,-40.95424,-79.23441,-40.27103,-11.84128,-53.81676,-49.28078,-48.45294,-11.64753,-35.59154,-97.7398,-143.5135,-108.4278,-116.3446,-122.6036,-65.47438,-58.15465,-78.7652,-96.87431,-96.67065,-25.76316,-43.01271,-37.49692,-38.50114,-55.92014,-61.62108,-34.24027,-48.92006,-45.95398,-9.896979,97.85556,20.71105,-58.13094,173.9987,39.49562,-36.50409,-65.80926,-21.51159,-43.47411,-37.72002,-30.30957,-66.88314,-24.00874,-43.50842,32.23013,-62.325,23.70399,-16.93635,-80.1226,69.92529,-10.5781,-5.21082,-6.183335,25.58002,TASK4T0
-23.16712,-61.64682,-8.379911,-68.43571,-70.03693,-89.80775,-101.0049,-53.12597,-73.26288,-66.51027,-23.57863,-54.04895,-91.52238,-43.90698,-29.62964,-71.95351,-68.31147,-51.25049,-19.5248,-45.99123,-101.7081,-165.401,-123.1375,-132.441,-147.3984,-90.34405,-73.40269,-96.04263,-71.5339,-125.3843,-41.24419,-68.86812,-66.58884,-65.26756,-80.09103,-73.18556,-39.04288,-57.56714,-84.25668,-8.813102,39.47144,12.71123,-53.07476,121.0385,-8.360621,-72.98919,-63.28716,-22.67163,-66.14154,-70.20029,-57.074,-86.54051,-48.80766,-74.63082,-12.13723,-76.53202,1.335264,-45.00059,-116.8012,25.5016,-47.88617,-38.60595,-38.03759,-20.10478,TASK4T0
-63.99452,-70.72147,-10.27931,-71.60744,-69.53289,-99.35653,-89.11426,-54.59837,-68.8644,-63.32304,-21.90743,-53.41257,-82.86038,-38.59488,-17.76318,-64.19318,-57.29609,-41.04514,-5.211751,-32.24895,-99.23486,-150.9532,-106.5876,-120.2809,-123.6003,-78.27731,-56.86428,-74.86676,-73.41634,-120.7643,-30.581,-45.28584,-40.10386,-40.23015,-48.78489,-54.9661,-26.52381,-42.90549,-31.68845,-3.162696,105.6549,0.7591435,-35.66637,151.223,27.3454,-44.45448,-38.03332,-3.555491,-43.27325,-36.55577,-32.47386,-64.61626,-30.35281,-59.48343,7.980792,-49.81558,18.05356,-18.99962,-95.08644,53.75315,-6.359927,-11.96512,-16.73009,10.52493,TASK4T0
-26.01038,-43.02601,18.77045,-52.15324,-60.19213,-99.6065,-84.67156,-43.86753,-62.67667,-53.96117,-12.71972,-49.76663,-92.29552,-49.86486,-18.0863,-62.10038,-57.43445,-46.97489,-15.90581,-43.83015,-94.54807,-158.4694,-124.0335,-134.0319,-136.1091,-78.38063,-69.40413,-87.71351,-93.0155,-112.4874,-19.64863,-56.98026,-49.3125,-50.79652,-62.84951,-68.58691,-48.27314,-81.48685,-46.13102,-39.09616,57.77592,-15.13242,-41.0533,171.2782,22.68777,-56.49391,-43.16027,-16.60643,-63.66845,-58.04043,-48.59426,-83.50953,-40.69012,-59.80285,3.62414,-76.95513,-6.883849,-38.72897,-102.439,39.20909,-32.64808,-33.8688,-31.23876,-11.78218,TASK4T0
-68.85555,-73.90588,-3.26543,-75.67596,-79.37875,-114.6373,-87.19246,-65.6187,-82.11774,-76.60952,-36.07167,-72.4737,-105.785,-60.78436,-39.35896,-84.49757,-74.04378,-62.94801,-37.4467,-58.17876,-102.0996,-159.4037,-123.5761,-127.8974,-130.5212,-80.93275,-68.62092,-88.09403,-72.82468,-134.0038,-28.14759,-57.71091,-45.09375,-51.56679,-70.74584,-60.15282,-23.74046,-37.44933,-51.08095,0.9801625,91.80716,54.50914,-57.30458,108.6265,2.597776,-61.8535,-48.81445,-21.0197,-59.87455,-61.07221,-54.27077,-88.59786,-42.37411,-84.4796,-13.65932,-74.7634,-17.25299,-35.42329,-103.5719,41.5752,-27.00671,-27.15978,-23.58462,-2.656894,TASK4T0
