segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,labels
-25.99974,-5.185997,16.92061,-49.77121,52.41916,-57.43464,38.75705,-43.99574,-15.12041,-32.84143,-9.658863,-31.2887,-24.82318,boundary
-21.09312,-1.919378,20.16885,-44.54933,54.46267,-46.36611,38.11132,-35.25839,-8.737649,-24.1534,-4.382642,-23.06912,-18.71188,boundary
-16.54472,-0.967865,16.61566,-43.20149,52.52117,-45.01585,37.81103,-34.5031,-6.217499,-24.6582,-4.812477,-20.01666,-19.03829,boundary
-20.46357,-2.288275,14.53651,-40.51466,51.34436,-40.06851,35.01152,-30.59158,-1.315497,-20.56194,-2.098344,-14.56005,-16.72402,boundary
-15.09042,1.485403,19.01574,-34.52847,50.02176,-32.48438,33.23349,-24.75417,3.251719,-14.6309,1.320079,-9.650038,-10.49342,boundary
-11.47765,0.1568047,12.60312,-33.15658,43.65199,-31.80811,34.63852,-26.08794,-0.2579722,-17.50995,-2.513704,-9.968236,-13.0663,boundary
-15.78706,0.255968,10.52437,-31.35513,39.07524,-27.80294,27.38991,-24.59234,3.554574,-15.17073,-1.967709,-6.604251,-11.14539,boundary
-13.41271,0.2554483,9.712161,-28.76247,35.24606,-28.00937,28.47841,-25.68254,1.656881,-17.10186,-3.297263,-8.144844,-11.05266,boundary
-10.91762,-2.02933,7.096577,-26.63925,26.39317,-26.48929,26.99162,-26.50284,-3.303668,-18.22219,-7.450249,-11.54953,-11.81207,boundary
-14.74933,-0.4801033,5.456721,-26.58912,22.2923,-27.60163,20.10968,-28.47178,-4.172645,-19.55537,-9.177022,-13.51765,-12.51391,boundary
-25.99974,-5.185997,16.92061,-49.77121,52.41916,-57.43464,38.75705,-43.99574,-15.12041,-32.84143,-9.658863,-31.2887,-24.82318,boundary
-21.09312,-1.919378,20.16885,-44.54933,54.46267,-46.36611,38.11132,-35.25839,-8.737649,-24.1534,-4.382642,-23.06912,-18.71188,boundary
-16.54472,-0.967865,16.61566,-43.20149,52.52117,-45.01585,37.81103,-34.5031,-6.217499,-24.6582,-4.812477,-20.01666,-19.03829,boundary
-20.46357,-2.288275,14.53651,-40.51466,51.34436,-40.06851,35.01152,-30.59158,-1.315497,-20.56194,-2.098344,-14.56005,-16.72402,boundary
-15.09042,1.485403,19.01574,-34.52847,50.02176,-32.48438,33.23349,-24.75417,3.251719,-14.6309,1.320079,-9.650038,-10.49342,boundary
