segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,labels
3.706726,4.429601,1.555755,6.069393,4.807793,5.251207,4.315317,6.444121,7.749203,6.370653,11.50479,5.020892,boundary
6.220639,2.947388,-1.325829,5.146006,-6.477791,8.767416,0.8117929,5.089046,5.338372,1.247563,9.650397,1.886876,boundary
3.525667,3.205908,0.3644768,2.179887,3.227666,3.925338,1.703835,1.43645,1.809013,3.875374,6.200015,0.4035189,boundary
3.272181,1.977708,-3.162097,2.830648,1.600556,6.032825,1.840347,3.478529,4.864553,3.629319,5.777886,0.6321065,boundary
8.095075,1.372445,-2.033598,4.358121,-6.627294,11.84563,5.703936,7.485603,8.349978,1.242589,9.352099,1.86437,boundary
2.313214,2.832439,-0.3074576,0.1671599,2.13026,3.786184,2.065189,1.556843,3.033523,2.607598,3.024299,-0.6411626,boundary
2.484711,-0.009647245,-5.22616,-0.2899557,-5.019048,3.439498,0.7168725,0.007918689,1.688424,-1.621212,-0.3613625,-2.54196,boundary
1.267731,1.779891,-0.1864324,1.402934,-0.7421688,5.29218,6.528657,4.322704,6.542926,2.496873,3.619086,2.322615,boundary
1.48729,0.6683984,-3.125509,-1.02865,-2.029426,1.533741,0.9574523,1.496138,3.773238,-0.8380083,-0.8882309,-1.449867,boundary
-0.1414334,1.036771,0.05248328,-0.4079599,-4.013652,1.949731,3.936288,1.143606,3.711739,-0.9328904,-0.3372342,0.5081674,boundary
3.706726,4.429601,1.555755,6.069393,4.807793,5.251207,4.315317,6.444121,7.749203,6.370653,11.50479,5.020892,boundary
6.220639,2.947388,-1.325829,5.146006,-6.477791,8.767416,0.8117929,5.089046,5.338372,1.247563,9.650397,1.886876,boundary
3.525667,3.205908,0.3644768,2.179887,3.227666,3.925338,1.703835,1.43645,1.809013,3.875374,6.200015,0.4035189,boundary
3.272181,1.977708,-3.162097,2.830648,1.600556,6.032825,1.840347,3.478529,4.864553,3.629319,5.777886,0.6321065,boundary
8.095075,1.372445,-2.033598,4.358121,-6.627294,11.84563,5.703936,7.485603,8.349978,1.242589,9.352099,1.86437,boundary
2.313214,2.832439,-0.3074576,0.1671599,2.13026,3.786184,2.065189,1.556843,3.033523,2.607598,3.024299,-0.6411626,boundary
2.484711,-0.009647245,-5.22616,-0.2899557,-5.019048,3.439498,0.7168725,0.007918689,1.688424,-1.621212,-0.3613625,-2.54196,boundary
1.267731,1.779891,-0.1864324,1.402934,-0.7421688,5.29218,6.528657,4.322704,6.542926,2.496873,3.619086,2.322615,boundary
1.48729,0.6683984,-3.125509,-1.02865,-2.029426,1.533741,0.9574523,1.496138,3.773238,-0.8380083,-0.8882309,-1.449867,boundary
-0.1414334,1.036771,0.05248328,-0.4079599,-4.013652,1.949731,3.936288,1.143606,3.711739,-0.9328904,-0.3372342,0.5081674,boundary
-5.432258,1.80439,0.4838541,-1.924828,1.244275,-5.888699,-1.975297,-4.778168,-2.266667,-0.9815693,-4.973763,-0.2827727,boundary
0.03364425,1.953219,1.625514,1.112065,-3.339933,1.689196,0.7270662,-0.2316222,-0.4521584,0.6687068,1.851057,0.261534,boundary
-0.7978556,-0.9130906,-2.161419,-1.511661,3.967654,-2.301572,-3.046046,-5.010248,-4.422617,-0.561805,-1.13936,-3.556425,boundary
-6.172242,-0.4484588,0.09921911,-2.219008,4.204002,-3.342137,-2.470277,-5.593125,-3.514226,0.6790259,-0.1585699,-1.893251,boundary
2.22576,2.878007,5.762046,5.501687,2.384733,8.35899,10.21603,8.264863,8.811883,6.726314,9.168888,7.397161,boundary
3.251883,-2.71278,-4.44704,-1.348176,1.814034,-1.485485,-4.029521,-6.130589,-4.632986,-1.52221,-0.7591567,-3.683894,boundary
-6.021564,0.2860272,1.936406,-0.8272679,6.094047,0.3522419,-0.2019715,-2.051539,-0.8807039,3.056894,1.753121,0.04993949,boundary
2.816071,1.111188,4.872244,3.835276,8.124788,5.77234,6.497059,3.24765,5.203981,4.903622,6.571992,5.715467,boundary
6.118838,-2.257726,-2.214149,1.205138,-1.675999,2.67112,-2.201174,-2.271784,-1.639653,-1.396211,2.016606,-0.6453363,boundary
-3.142789,-0.7294375,1.540307,0.3650336,6.067682,1.609497,1.855124,0.4797555,1.376268,2.457941,2.639393,1.432796,boundary
