segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,labels
5.41966,0.6404511,2.324934,0.8039325,-1.763718,5.431613,0.4214092,6.065843,6.18804,7.743147,5.89839,-0.8868642,4.614399,2.252327,boundary
-1.127632,-2.174331,-0.9610801,-4.038028,-5.773975,-1.091202,-2.688941,0.6771697,-1.172499,3.385965,0.1783541,-6.208128,-1.071134,-3.158742,boundary
2.715104,-1.059701,-1.691895,-0.7543222,-7.604755,1.991472,0.09673306,4.680976,-0.4254824,0.7571014,-0.08079772,-5.474536,0.8032178,-1.44277,boundary
4.401883,2.320948,4.205932,2.761472,5.844553,5.841667,-0.8389104,2.60903,7.029972,6.929025,7.259558,3.485595,5.303092,5.006262,boundary
-0.9283688,1.792555,6.216832,-0.4478708,12.8521,1.462002,-3.913965,-2.17959,-0.5885559,3.42013,1.651829,4.310957,0.815166,1.838721,boundary
3.22756,-1.151744,-3.67368,-1.149691,-23.79684,1.002766,1.956306,8.343739,-1.978905,1.656526,0.6687622,-9.968991,-0.4226353,-2.880437,boundary
-1.015086,1.933012,2.060304,0.577694,11.04243,-1.165492,-2.54273,-5.468044,0.5895441,-1.320315,0.8033123,3.282627,1.20618,2.448083,boundary
2.118864,1.181022,4.539408,1.616022,12.22762,1.020742,-1.571102,-0.9804127,-4.005897,-2.664771,-1.167505,3.485398,0.07754074,1.982751,boundary
2.049983,0.3901227,-0.518605,-0.09012378,-22.22385,2.501927,1.711733,5.534765,-0.05559913,3.734228,3.898871,-6.789907,2.108285,-0.2431799,boundary
-2.078054,-0.5219182,-2.073285,-3.082977,3.621123,-6.555313,-0.6404445,-3.08995,-6.808372,-6.931787,-5.548152,-2.724812,-4.743988,-3.04493,boundary
5.41966,0.6404511,2.324934,0.8039325,-1.763718,5.431613,0.4214092,6.065843,6.18804,7.743147,5.89839,-0.8868642,4.614399,2.252327,boundary
-1.127632,-2.174331,-0.9610801,-4.038028,-5.773975,-1.091202,-2.688941,0.6771697,-1.172499,3.385965,0.1783541,-6.208128,-1.071134,-3.158742,boundary
2.715104,-1.059701,-1.691895,-0.7543222,-7.604755,1.991472,0.09673306,4.680976,-0.4254824,0.7571014,-0.08079772,-5.474536,0.8032178,-1.44277,boundary
4.401883,2.320948,4.205932,2.761472,5.844553,5.841667,-0.8389104,2.60903,7.029972,6.929025,7.259558,3.485595,5.303092,5.006262,boundary
-0.9283688,1.792555,6.216832,-0.4478708,12.8521,1.462002,-3.913965,-2.17959,-0.5885559,3.42013,1.651829,4.310957,0.815166,1.838721,boundary
3.22756,-1.151744,-3.67368,-1.149691,-23.79684,1.002766,1.956306,8.343739,-1.978905,1.656526,0.6687622,-9.968991,-0.4226353,-2.880437,boundary
-1.015086,1.933012,2.060304,0.577694,11.04243,-1.165492,-2.54273,-5.468044,0.5895441,-1.320315,0.8033123,3.282627,1.20618,2.448083,boundary
2.118864,1.181022,4.539408,1.616022,12.22762,1.020742,-1.571102,-0.9804127,-4.005897,-2.664771,-1.167505,3.485398,0.07754074,1.982751,boundary
2.049983,0.3901227,-0.518605,-0.09012378,-22.22385,2.501927,1.711733,5.534765,-0.05559913,3.734228,3.898871,-6.789907,2.108285,-0.2431799,boundary
-2.078054,-0.5219182,-2.073285,-3.082977,3.621123,-6.555313,-0.6404445,-3.08995,-6.808372,-6.931787,-5.548152,-2.724812,-4.743988,-3.04493,boundary
1.20558,-1.136119,-1.517732,0.8929179,-6.380082,-1.11747,0.1180426,-1.646021,-6.037439,-7.242319,-3.962753,-4.997314,-0.6579134,-1.1811,boundary
