segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,labels
-3.40406,-6.383265,-0.6950837,-1.281132,3.573427,2.232129,-5.144262,-1.237716,-0.3740996,3.049805,6.821586,7.472706,1.370851,6.60294,2.709436,boundary
-2.150465,-2.110014,1.868076,-0.01105635,5.911602,3.547925,1.675638,-0.1699742,-0.4754218,3.791603,14.47835,11.88534,3.71627,10.14796,3.785506,boundary
0.974039,2.477026,1.481713,2.624666,9.453176,7.362061,11.09095,1.284114,-0.2791591,4.642966,15.13831,16.90538,7.102086,12.06895,7.739355,boundary
1.858541,-2.848638,0.1549288,3.165255,5.961488,7.702742,-2.868697,-1.251035,2.282149,3.945543,12.68068,13.2589,6.687055,8.483771,7.088198,boundary
0.5504237,6.445983,2.073898,2.025701,7.535468,4.872447,10.92516,-0.2107975,1.495466,2.378658,12.48226,11.01259,5.056256,10.63201,5.999625,boundary
1.541908,-2.285713,1.575068,3.333509,7.252331,7.705616,8.138779,0.9948784,-2.709185,3.1882,15.13508,16.41359,8.125256,9.091565,8.979848,boundary
6.037765,-0.7131266,2.270517,6.466698,6.194018,11.38743,2.420135,0.3867914,1.823534,4.833248,13.485,15.73162,10.37116,9.080001,10.13283,boundary
4.989958,8.105899,1.444942,5.202532,8.017837,7.566569,12.60696,0.7512351,1.880337,3.477303,11.31702,12.30399,8.371855,10.49217,8.864019,boundary
-0.3864422,-5.743939,-0.4826995,1.295295,0.4937578,3.427847,2.366937,-2.265461,-2.818746,-3.119899,8.084424,8.332484,4.931432,4.930472,6.801861,boundary
5.200135,-5.516728,3.562046,5.835625,3.151054,8.545012,-1.25964,1.361364,-1.811793,4.657925,8.996779,11.941,8.897763,5.717877,9.538438,boundary
-3.40406,-6.383265,-0.6950837,-1.281132,3.573427,2.232129,-5.144262,-1.237716,-0.3740996,3.049805,6.821586,7.472706,1.370851,6.60294,2.709436,boundary
-2.150465,-2.110014,1.868076,-0.01105635,5.911602,3.547925,1.675638,-0.1699742,-0.4754218,3.791603,14.47835,11.88534,3.71627,10.14796,3.785506,boundary
0.974039,2.477026,1.481713,2.624666,9.453176,7.362061,11.09095,1.284114,-0.2791591,4.642966,15.13831,16.90538,7.102086,12.06895,7.739355,boundary
1.858541,-2.848638,0.1549288,3.165255,5.961488,7.702742,-2.868697,-1.251035,2.282149,3.945543,12.68068,13.2589,6.687055,8.483771,7.088198,boundary
0.5504237,6.445983,2.073898,2.025701,7.535468,4.872447,10.92516,-0.2107975,1.495466,2.378658,12.48226,11.01259,5.056256,10.63201,5.999625,boundary
1.541908,-2.285713,1.575068,3.333509,7.252331,7.705616,8.138779,0.9948784,-2.709185,3.1882,15.13508,16.41359,8.125256,9.091565,8.979848,boundary
6.037765,-0.7131266,2.270517,6.466698,6.194018,11.38743,2.420135,0.3867914,1.823534,4.833248,13.485,15.73162,10.37116,9.080001,10.13283,boundary
4.989958,8.105899,1.444942,5.202532,8.017837,7.566569,12.60696,0.7512351,1.880337,3.477303,11.31702,12.30399,8.371855,10.49217,8.864019,boundary
-0.3864422,-5.743939,-0.4826995,1.295295,0.4937578,3.427847,2.366937,-2.265461,-2.818746,-3.119899,8.084424,8.332484,4.931432,4.930472,6.801861,boundary
5.200135,-5.516728,3.562046,5.835625,3.151054,8.545012,-1.25964,1.361364,-1.811793,4.657925,8.996779,11.941,8.897763,5.717877,9.538438,boundary
5.226977,0.8657398,1.562233,5.850176,5.261851,5.649722,5.552882,0.7344418,-0.5751426,1.791263,7.417755,9.32404,8.318422,7.159451,8.680472,boundary
2.654512,2.467822,0.9776726,3.697677,-0.1246807,7.01522,5.940908,2.583363,3.770439,8.496093,7.435703,4.941816,4.445664,-0.8129345,1.259476,boundary
-0.3309662,3.975173,2.468856,2.934476,4.13032,2.124739,16.07466,1.59808,1.879842,0.7170784,12.3505,7.909286,2.23624,3.936755,4.781997,boundary
0.9449152,-4.642782,3.41361,5.137173,4.086177,4.421784,-4.30211,1.545633,-1.432948,-5.761276,11.16393,7.550368,5.388803,-0.06466024,5.682898,boundary
1.073423,2.739544,1.911565,3.19125,2.218747,5.852077,6.882653,-0.2191891,2.756824,2.050453,13.97411,9.290968,4.001751,3.203896,3.979626,boundary
2.819484,-0.509719,2.608376,4.769102,2.198323,6.01463,10.11961,1.146047,0.600991,3.920288,14.4029,9.310131,5.985339,4.618646,4.970779,boundary
-2.213471,1.771986,1.335214,2.026613,4.150049,2.981498,4.310977,-0.4989722,1.781915,-6.3213,11.37918,7.466717,3.424416,1.076596,4.064203,boundary
2.85132,-0.3294341,2.870883,4.271305,3.281342,9.205981,4.847396,0.05704721,-1.032464,0.5567908,14.38997,11.75438,7.1765,6.158412,6.603529,boundary
2.274602,-0.989173,1.675191,3.069356,0.2801871,4.233295,2.262603,-0.3692725,-0.03335142,0.9203219,11.4513,5.455951,4.5746,2.078807,3.714128,boundary
2.074435,2.999,2.149525,4.651969,4.794973,7.677911,8.661051,1.365841,1.461352,0.4084177,14.9256,12.7964,8.227291,5.013879,6.151804,boundary
2.614321,-0.2087743,2.433801,3.920393,3.980486,9.414893,5.007012,-0.1524675,-1.183529,0.8498988,12.08265,10.69397,8.212748,6.745129,7.135748,boundary
4.752817,9.774994,5.243431,7.88681,7.89324,10.73172,13.68388,0.1116244,3.091303,-2.690859,11.95983,11.45131,12.08783,11.47754,9.010322,boundary
-1.492661,2.395877,1.620634,1.042504,3.987789,2.638071,7.762981,-2.370215,1.063847,-5.062263,6.525725,3.535041,4.570196,8.098271,3.644366,boundary
-0.12416,4.103548,-0.1975417,1.948766,1.593317,3.186422,3.452103,-0.9986268,-1.021437,-0.8346491,6.114626,3.703626,3.405235,4.083749,2.584595,boundary
