segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
13.64276,6.959316,0.0325877,16.10525,8.006811,-2.017482,8.249941,4.928105,-12.11411,4.036673,3.694212,-12.48987,10.08466,3.811773,4.661882,7.590123,5.192737,boundary
12.55859,7.748434,-0.4034195,13.76031,8.674858,-3.319687,9.832232,3.656973,-12.77361,3.183608,2.677772,-15.25896,12.4574,3.206612,3.121909,9.179081,5.123684,boundary
12.80837,8.135512,0.9309082,18.43183,9.023273,-0.9911889,10.04014,4.812929,-14.27146,5.423285,0.6640576,-10.39878,17.14521,8.134912,6.940111,10.1001,5.682556,boundary
10.03024,7.907139,-1.010087,16.62839,7.437315,-4.0444,8.343565,3.075058,-13.89287,-0.4246811,4.495581,-5.705181,7.093705,6.879536,5.518476,7.398315,6.997945,boundary
8.956241,9.377895,-0.7219189,14.63029,8.561279,-6.606271,11.55986,3.964472,-14.46015,6.020609,1.828521,-17.29254,12.19482,2.130438,2.540756,10.27914,7.598887,boundary
9.570581,9.448235,0.2293664,18.6792,10.54644,-2.674258,13.87213,3.537719,-14.9817,5.230665,1.106985,-5.676607,22.40371,11.63102,8.52977,13.48761,9.535381,boundary
8.957166,11.01544,1.038888,20.99246,12.17682,2.087394,13.10218,3.791452,-15.0125,2.326887,4.394569,0.1431459,13.89144,12.45461,12.87777,13.32862,13.6942,boundary
8.731359,10.55177,3.013048,22.59433,12.9587,-0.202364,12.69632,5.753454,-15.70676,9.573911,1.598996,-2.637841,14.61637,10.72386,13.48953,13.79792,16.04364,boundary
4.837496,10.75798,0.791294,19.96569,12.3161,-2.554201,14.9547,3.941864,-15.02678,5.944345,3.324459,-5.028661,20.44481,10.70619,11.76428,14.73344,15.05174,boundary
6.694586,10.89385,2.57184,23.99484,15.64738,5.570008,14.57935,5.843885,-16.24806,8.902528,1.615454,7.142331,21.98404,16.12259,18.47123,16.55306,18.44343,boundary
13.64276,6.959316,0.0325877,16.10525,8.006811,-2.017482,8.249941,4.928105,-12.11411,4.036673,3.694212,-12.48987,10.08466,3.811773,4.661882,7.590123,5.192737,boundary
12.55859,7.748434,-0.4034195,13.76031,8.674858,-3.319687,9.832232,3.656973,-12.77361,3.183608,2.677772,-15.25896,12.4574,3.206612,3.121909,9.179081,5.123684,boundary
12.80837,8.135512,0.9309082,18.43183,9.023273,-0.9911889,10.04014,4.812929,-14.27146,5.423285,0.6640576,-10.39878,17.14521,8.134912,6.940111,10.1001,5.682556,boundary
10.03024,7.907139,-1.010087,16.62839,7.437315,-4.0444,8.343565,3.075058,-13.89287,-0.4246811,4.495581,-5.705181,7.093705,6.879536,5.518476,7.398315,6.997945,boundary
