segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-6.012926,-4.552869,-7.297334,-9.925999,-8.383794,-2.925892,-8.546964,2.093058,5.067239,1.19053,3.151504,-17.08523,-15.56394,-14.28642,-10.86819,-14.18937,boundary
-4.608565,-7.803746,-9.255879,-9.623009,-10.67822,-2.131318,-12.24166,1.234196,1.596704,2.235159,-0.4044687,-20.32204,-20.75317,-13.61357,-12.73737,-13.43529,boundary
-11.09733,-7.574108,-10.98794,-13.71253,-11.61685,-11.76027,-14.34116,-0.3339201,2.735075,-4.68775,2.705184,-21.34976,-18.76454,-18.90492,-16.50342,-18.95184,boundary
-7.22606,-9.010005,-9.731398,-11.76974,-12.48161,-5.872761,-17.39897,1.359781,2.4466,-1.819232,0.2872392,-23.83569,-27.51205,-16.38459,-18.39056,-19.42131,boundary
-4.854185,-9.455545,-9.329717,-9.82293,-11.7298,-2.409638,-13.86691,1.509288,0.4519179,0.2091939,-3.299352,-21.5115,-21.54494,-12.93393,-14.71153,-15.30195,boundary
-11.19276,-7.162063,-10.04694,-12.29431,-11.00586,-13.69971,-14.42939,-1.020545,1.828247,-7.949083,4.180698,-20.71264,-20.35828,-17.50625,-16.08343,-17.59274,boundary
-8.061953,-10.56583,-8.701506,-10.60505,-13.36852,-8.464346,-22.32315,-0.730414,0.7140459,-8.438556,-1.54436,-24.42944,-29.68028,-15.30339,-20.55903,-18.59836,boundary
-5.277901,-6.460368,-6.023339,-6.746282,-7.588601,-2.999209,-11.03875,0.3985526,0.7891836,-4.852058,-1.713624,-15.32816,-13.75856,-10.02993,-10.68045,-12.60985,boundary
-5.993006,-3.695516,-5.146091,-6.932194,-7.120098,-7.152343,-9.952569,0.2511433,2.144401,-6.137215,5.022971,-15.96797,-18.07404,-10.33916,-10.82316,-11.92202,boundary
-6.778693,-6.235039,-5.00187,-6.435273,-8.70486,-8.144652,-14.28213,-2.19923,0.7408347,-12.03841,0.01882781,-17.60335,-17.92277,-10.98357,-12.66444,-12.20158,boundary
-6.012926,-4.552869,-7.297334,-9.925999,-8.383794,-2.925892,-8.546964,2.093058,5.067239,1.19053,3.151504,-17.08523,-15.56394,-14.28642,-10.86819,-14.18937,boundary
-4.608565,-7.803746,-9.255879,-9.623009,-10.67822,-2.131318,-12.24166,1.234196,1.596704,2.235159,-0.4044687,-20.32204,-20.75317,-13.61357,-12.73737,-13.43529,boundary
-11.09733,-7.574108,-10.98794,-13.71253,-11.61685,-11.76027,-14.34116,-0.3339201,2.735075,-4.68775,2.705184,-21.34976,-18.76454,-18.90492,-16.50342,-18.95184,boundary
-7.22606,-9.010005,-9.731398,-11.76974,-12.48161,-5.872761,-17.39897,1.359781,2.4466,-1.819232,0.2872392,-23.83569,-27.51205,-16.38459,-18.39056,-19.42131,boundary
-4.854185,-9.455545,-9.329717,-9.82293,-11.7298,-2.409638,-13.86691,1.509288,0.4519179,0.2091939,-3.299352,-21.5115,-21.54494,-12.93393,-14.71153,-15.30195,boundary
-11.19276,-7.162063,-10.04694,-12.29431,-11.00586,-13.69971,-14.42939,-1.020545,1.828247,-7.949083,4.180698,-20.71264,-20.35828,-17.50625,-16.08343,-17.59274,boundary
-8.061953,-10.56583,-8.701506,-10.60505,-13.36852,-8.464346,-22.32315,-0.730414,0.7140459,-8.438556,-1.54436,-24.42944,-29.68028,-15.30339,-20.55903,-18.59836,boundary
-5.277901,-6.460368,-6.023339,-6.746282,-7.588601,-2.999209,-11.03875,0.3985526,0.7891836,-4.852058,-1.713624,-15.32816,-13.75856,-10.02993,-10.68045,-12.60985,boundary
-5.993006,-3.695516,-5.146091,-6.932194,-7.120098,-7.152343,-9.952569,0.2511433,2.144401,-6.137215,5.022971,-15.96797,-18.07404,-10.33916,-10.82316,-11.92202,boundary
-6.778693,-6.235039,-5.00187,-6.435273,-8.70486,-8.144652,-14.28213,-2.19923,0.7408347,-12.03841,0.01882781,-17.60335,-17.92277,-10.98357,-12.66444,-12.20158,boundary
-3.784668,-1.128324,-1.583343,-2.531651,-3.119714,-2.076275,-6.078495,-0.9479157,2.249564,-7.213375,3.491053,-8.886333,-8.490985,-6.263877,-4.915753,-7.404995,boundary
-2.952691,-6.488358,-1.863593,-2.38834,-2.338352,-8.394062,-8.825809,0.5495986,-3.521942,-7.970967,-9.500581,-10.76344,-11.13715,-5.125805,-6.3307,-2.22914,boundary
-4.966398,-6.351673,-3.103341,-5.347567,-3.987627,-12.08648,-9.441977,-0.3452961,-2.958612,-10.22103,-11.68823,-15.67629,-15.58505,-9.057501,-8.331649,-5.722159,boundary
-4.395759,-6.283587,-4.148149,-5.208677,-5.514028,-11.17383,-10.49036,-0.9564215,-2.136042,-9.427333,-6.721308,-14.65435,-12.86241,-7.832123,-9.989863,-6.271832,boundary
-4.384809,-5.367448,-2.206019,-2.756191,-2.693784,-10.12562,-7.974784,-0.5029305,-2.545689,-7.945374,-9.366598,-13.50825,-13.41674,-7.375875,-7.185004,-4.442456,boundary
-3.666744,-5.57725,-2.050238,-3.598981,-2.645603,-11.65873,-9.528919,0.8217345,-1.558443,-8.739825,-9.97424,-14.08932,-15.82483,-7.668376,-8.468246,-4.705821,boundary
-2.450239,-6.919308,-3.955338,-5.182925,-5.858189,-9.426448,-11.54731,0.2653883,-2.740916,-3.710032,-8.189511,-15.49341,-15.27556,-8.076527,-10.81173,-7.036482,boundary
-2.495311,-3.429938,-2.30632,-2.729264,-2.830865,-7.772419,-5.352211,-0.8230788,-1.843539,-4.56306,-8.070374,-12.65547,-13.27841,-7.262174,-6.997135,-4.522195,boundary
-1.608172,-4.444184,-1.184962,-1.902021,-1.705314,-8.353913,-6.611136,1.204287,-1.443186,-3.264048,-7.52962,-11.23462,-13.38438,-6.507249,-7.158946,-3.173099,boundary
0.477893,-5.092074,-1.667801,-2.743614,-4.119027,-4.897578,-8.511867,1.288492,-1.755171,1.069538,-7.666672,-9.990202,-12.56043,-5.223513,-8.689088,-4.506891,boundary
0.5907117,-2.870681,-1.274637,-1.572532,-1.678896,-3.426736,-3.285872,0.7519323,-2.233974,0.009890405,-6.711966,-8.2144,-10.57545,-5.369847,-5.444275,-2.369897,boundary
6.467613,6.193824,6.606409,8.1492,9.659728,11.76827,8.761401,3.218955,2.769644,10.03067,4.263748,15.92234,15.64249,10.17805,10.50093,9.473065,boundary
4.182985,3.177435,3.023634,6.997948,7.111344,9.149489,5.828128,2.136778,0.3585237,8.133711,1.046856,11.41155,9.800084,8.694126,7.743736,8.344543,boundary
5.220903,5.307157,6.469298,9.421297,10.31359,9.900245,9.121346,1.943941,1.868482,6.281513,0.3289418,18.89123,18.95276,11.42815,12.73934,12.55464,boundary
5.762669,4.830554,5.921344,9.396462,10.27925,11.788,9.024402,1.65716,1.417184,8.363688,0.8954411,18.24751,18.15604,12.33926,13.29713,12.63384,boundary
6.329169,3.523164,4.235905,9.924704,8.999795,10.86831,7.224398,3.001334,-0.3675075,8.708097,0.1520875,15.88844,14.66917,12.07079,9.97176,12.45408,boundary
6.790855,3.746475,5.55964,10.80282,10.33397,12.92012,9.19899,2.887549,0.7166657,8.035509,-2.660169,18.63528,18.00428,13.26169,13.18972,14.13441,boundary
5.424129,3.734604,4.55308,9.639913,9.7764,11.27895,9.457101,0.7180452,0.698764,6.590393,-1.647224,16.5195,17.2565,12.56761,13.28557,13.59329,boundary
6.57201,3.304414,4.492069,9.854844,8.508519,11.14924,6.664157,2.72483,0.1661595,8.535954,-2.600678,14.00347,13.61618,12.83542,9.45772,12.2399,boundary
5.328461,0.9163369,3.285115,7.814026,7.002683,11.61197,6.339037,2.908685,-0.294158,7.589534,-4.654242,12.26648,13.10662,10.10462,8.637138,10.23616,boundary
